,G_x,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,stint,G_y,GS,InnOuts,PO,A,E,DP,PB,SB_y,CS_y,salary,MinSalaries,adjSalary,adjMinSalaries,adjSalary2,Bavg,Slug,OBP,FPct,debutYear,seasonNum,yearID,playerID,Primary
17032,26,78,11,21,5,0,4,9.0,0.0,0.0,6,21.0,0.0,0.0,2.0,0.0,1.0,3.0,25.0,22.0,579.0,147.0,8.0,2.0,0.0,1.0,25.0,6.0,2800000.0,507500.0,2858799.9999999995,518157.49999999994,2858799.9999999995,0.2692307692307692,0.48717948717948717,0.32142857142857145,0.9872611464968153,2005,12,2016,sotoge01,C
17044,128,516,71,146,38,4,4,41.0,17.0,6.0,47,62.0,0.0,0.0,4.0,1.0,10.0,1.0,125.0,122.0,3220.0,339.0,6.0,4.0,3.0,0.0,0.0,0.0,3000000.0,480000.0,3204000.0,512640.0,3204000.0,0.28294573643410853,0.3953488372093023,0.3421985815602837,0.9885386819484241,2008,5,2012,spande01,OF
17045,153,610,75,170,28,11,4,47.0,20.0,6.0,42,77.0,0.0,2.0,7.0,1.0,11.0,1.0,153.0,145.0,3902.0,379.0,5.0,0.0,1.0,0.0,0.0,0.0,4750000.0,490000.0,4997000.0,515480.0,4997000.0,0.2786885245901639,0.380327868852459,0.3267175572519084,1.0,2008,6,2013,spande01,OF
17046,147,610,94,184,39,8,5,37.0,31.0,7.0,50,65.0,1.0,2.0,3.0,3.0,6.0,1.0,147.0,144.0,3908.0,377.0,7.0,4.0,3.0,0.0,0.0,0.0,6500000.0,500000.0,6727499.999999999,517499.99999999994,6727499.999999999,0.3016393442622951,0.4163934426229508,0.3548872180451128,0.9896907216494846,2008,7,2014,spande01,OF
17047,61,246,38,74,17,0,5,22.0,11.0,0.0,25,26.0,0.0,1.0,1.0,2.0,5.0,1.0,61.0,61.0,1569.0,149.0,3.0,1.0,3.0,0.0,0.0,0.0,9000000.0,507500.0,9306000.0,524755.0,9306000.0,0.3008130081300813,0.43089430894308944,0.36496350364963503,0.9934640522875817,2008,8,2015,spande01,OF
17048,143,572,70,152,23,5,11,53.0,12.0,7.0,53,79.0,2.0,4.0,6.0,2.0,8.0,1.0,137.0,132.0,3574.0,286.0,3.0,1.0,1.0,0.0,0.0,0.0,5000000.0,507500.0,5105000.0,518157.49999999994,5105000.0,0.26573426573426573,0.3811188811188811,0.3312202852614897,0.996551724137931,2008,9,2016,spande01,OF
17085,123,384,66,105,27,4,4,43.0,11.0,2.0,45,62.0,0.0,5.0,1.0,2.0,9.0,4.0,117.0,89.0,2475.0,101.0,184.0,9.0,12.0,0.0,0.0,0.0,1600000.0,170000.0,2406400.0,255680.0,2406400.0,0.2734375,0.3958333333333333,0.3555045871559633,0.9693877551020408,1989,10,1998,spierbi01,3B
17086,127,393,56,113,18,5,4,39.0,10.0,5.0,47,45.0,2.0,0.0,3.0,1.0,10.0,5.0,120.0,91.0,2503.0,110.0,176.0,9.0,18.0,0.0,0.0,0.0,1600000.0,200000.0,2353600.0,294200.0,2353600.0,0.2875318066157761,0.3893129770992366,0.36281179138321995,0.9694915254237289,1989,11,1999,spierbi01,3B
17087,124,355,41,107,17,3,3,43.0,7.0,4.0,49,38.0,3.0,1.0,2.0,2.0,8.0,4.0,114.0,79.0,2171.0,118.0,196.0,8.0,39.0,0.0,0.0,0.0,1700000.0,200000.0,2419100.0,284600.0,2419100.0,0.30140845070422534,0.39154929577464787,0.3857493857493858,0.9751552795031055,1989,12,2000,spierbi01,3B
17088,4,3,0,1,0,0,0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700000.0,200000.0,2352800.0,276800.0,2352800.0,0.3333333333333333,0.3333333333333333,0.5,0.0,1989,13,2001,spierbi01,DH
17095,153,491,80,140,34,2,12,82.0,6.0,7.0,67,52.0,7.0,4.0,3.0,6.0,12.0,4.0,174.0,133.0,3654.0,1095.0,78.0,5.0,103.0,0.0,0.0,0.0,2275000.0,200000.0,3100825.0000000005,272600.00000000006,3100825.0000000005,0.285132382892057,0.43584521384928715,0.3714788732394366,0.9957555178268251,1996,7,2002,spiezsc01,1B
17096,158,521,69,138,36,7,16,83.0,6.0,3.0,46,66.0,8.0,5.0,2.0,7.0,12.0,3.0,176.0,135.0,3661.0,759.0,118.0,11.0,71.0,0.0,0.0,0.0,4250000.0,300000.0,5660999.999999999,399599.99999999994,5660999.999999999,0.2648752399232246,0.45297504798464494,0.32642487046632124,0.9876126126126126,1996,8,2003,spiezsc01,1B
17097,112,367,38,79,12,3,10,41.0,4.0,1.0,36,60.0,2.0,4.0,2.0,6.0,7.0,2.0,108.0,95.0,2600.0,307.0,155.0,11.0,37.0,0.0,0.0,0.0,2566667.0,300000.0,3331533.7660000003,389400.0,3331533.7660000003,0.21525885558583105,0.3460490463215259,0.288135593220339,0.9767441860465116,1996,9,2004,spiezsc01,3B
17098,29,47,2,3,1,0,1,1.0,0.0,0.0,4,18.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,4.0,144.0,33.0,2.0,0.0,2.0,0.0,0.0,0.0,3166667.0,316000.0,3974167.0849999995,396579.99999999994,3974167.0849999995,0.06382978723404255,0.14893617021276595,0.13725490196078433,1.0,1996,10,2005,spiezsc01,3B
17100,82,223,31,60,14,0,4,31.0,0.0,1.0,27,40.0,2.0,4.0,0.0,3.0,5.0,5.0,60.0,46.0,1212.0,120.0,53.0,5.0,14.0,0.0,0.0,0.0,2100000.0,380000.0,2482200.0,449160.0,2482200.0,0.26905829596412556,0.38565022421524664,0.3540856031128405,0.9719101123595506,1996,12,2007,spiezsc01,3B
