,G_x,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,stint,G_y,GS,InnOuts,PO,A,E,DP,PB,SB_y,CS_y,salary,MinSalaries,adjSalary,adjMinSalaries,adjSalary2,Bavg,Slug,OBP,FPct,debutYear,seasonNum,yearID,playerID,Primary
34,154,576,103,182,42,10,25,79.0,28.0,8.0,100,116.0,9.0,1.0,0.0,3.0,12.0,1.0,152.0,150.0,3992.0,337.0,13.0,4.0,2.0,0.0,0.0,0.0,2933333.0,200000.0,4174132.859,284600.0,4174132.859,0.3159722222222222,0.5538194444444444,0.4161764705882353,0.9887005649717514,1996,5,2000,abreubo01,OF
35,162,588,118,170,48,4,31,110.0,36.0,14.0,106,137.0,11.0,1.0,0.0,9.0,13.0,1.0,162.0,159.0,4234.0,308.0,11.0,8.0,4.0,0.0,0.0,0.0,4983000.0,200000.0,6896472.000000001,276800.0,6896472.000000001,0.2891156462585034,0.5425170068027211,0.3934659090909091,0.9755351681957186,1996,6,2001,abreubo01,OF
36,157,572,102,176,50,6,20,85.0,31.0,12.0,104,117.0,9.0,3.0,0.0,6.0,11.0,1.0,154.0,153.0,4062.0,282.0,10.0,5.0,2.0,0.0,0.0,0.0,6333333.0,200000.0,8632332.879,272600.00000000006,8632332.879,0.3076923076923077,0.5209790209790209,0.4131386861313869,0.9831649831649831,1996,7,2002,abreubo01,OF
37,158,577,99,173,35,1,20,101.0,22.0,9.0,109,126.0,13.0,2.0,0.0,7.0,13.0,1.0,158.0,156.0,4120.0,304.0,6.0,6.0,0.0,0.0,0.0,0.0,9100000.0,300000.0,12121199.999999998,399599.99999999994,12121199.999999998,0.29982668977469673,0.4679376083188908,0.40863309352517985,0.9810126582278481,1996,8,2003,abreubo01,OF
38,159,574,118,173,47,1,30,105.0,40.0,5.0,127,116.0,10.0,5.0,0.0,7.0,5.0,1.0,158.0,157.0,4184.0,311.0,13.0,6.0,4.0,0.0,0.0,0.0,10600000.0,300000.0,13758800.0,389400.0,13758800.0,0.30139372822299654,0.5435540069686411,0.4277699859747546,0.9818181818181818,1996,9,2004,abreubo01,OF
39,162,588,104,168,37,1,24,102.0,31.0,9.0,117,134.0,15.0,6.0,0.0,8.0,7.0,1.0,158.0,158.0,4092.0,266.0,7.0,4.0,0.0,0.0,0.0,0.0,13100000.0,316000.0,16440499.999999998,396579.99999999994,16440499.999999998,0.2857142857142857,0.4744897959183674,0.4047287899860918,0.9855595667870036,1996,10,2005,abreubo01,OF
40,156,548,98,163,41,2,15,107.0,30.0,6.0,124,138.0,6.0,3.0,2.0,9.0,13.0,3.0,154.0,149.0,3897.0,292.0,10.0,3.0,0.0,0.0,0.0,0.0,13600000.0,327000.0,16537600.0,397632.0,16537600.0,0.29744525547445255,0.46167883211678834,0.4239766081871345,0.9901639344262295,1996,11,2006,abreubo01,OF
41,158,605,123,171,40,5,16,101.0,25.0,8.0,84,115.0,0.0,3.0,0.0,7.0,11.0,1.0,157.0,150.0,3999.0,313.0,6.0,4.0,1.0,0.0,0.0,0.0,15000000.0,380000.0,17730000.0,449160.0,17730000.0,0.28264462809917357,0.4446280991735537,0.36909871244635195,0.9876160990712074,1996,12,2007,abreubo01,OF
42,156,609,100,180,39,4,20,100.0,22.0,11.0,73,109.0,2.0,1.0,0.0,1.0,14.0,1.0,150.0,148.0,3930.0,270.0,10.0,2.0,3.0,0.0,0.0,0.0,16000000.0,390000.0,18208000.0,443819.99999999994,18208000.0,0.2955665024630542,0.47126436781609193,0.3713450292397661,0.9929078014184397,1996,13,2008,abreubo01,OF
43,152,563,96,165,29,3,15,103.0,30.0,8.0,94,113.0,7.0,1.0,0.0,9.0,15.0,1.0,136.0,136.0,3498.0,269.0,10.0,8.0,4.0,0.0,0.0,0.0,5000000.0,400000.0,5715000.0,457200.0,5715000.0,0.29307282415630553,0.4351687388987567,0.38980509745127434,0.9721254355400697,1996,14,2009,abreubo01,OF
44,154,573,88,146,41,1,20,78.0,24.0,10.0,87,132.0,3.0,2.0,0.0,5.0,13.0,1.0,134.0,134.0,3464.0,242.0,7.0,6.0,2.0,0.0,0.0,0.0,9000000.0,400000.0,10116000.000000002,449600.00000000006,10116000.000000002,0.2547993019197208,0.43455497382198954,0.3523238380809595,0.9764705882352941,1996,15,2010,abreubo01,OF
45,142,502,54,127,30,1,8,60.0,21.0,5.0,78,113.0,5.0,1.0,1.0,3.0,8.0,1.0,28.0,28.0,674.0,29.0,2.0,1.0,0.0,0.0,0.0,0.0,9000000.0,414000.0,9810000.0,451260.00000000006,9810000.0,0.25298804780876494,0.3645418326693227,0.3527397260273973,0.96875,1996,16,2011,abreubo01,OF
46,100,219,29,53,11,1,3,24.0,6.0,2.0,37,56.0,3.0,0.0,0.0,1.0,7.0,3.0,54.0,50.0,1133.0,70.0,2.0,1.0,1.0,0.0,0.0,0.0,9000000.0,480000.0,9612000.0,512640.0,9612000.0,0.2420091324200913,0.3424657534246575,0.35019455252918286,0.9863013698630136,1996,17,2012,abreubo01,OF
48,145,556,80,176,35,2,36,107.0,3.0,1.0,51,131.0,15.0,11.0,0.0,4.0,14.0,1.0,109.0,109.0,2872.0,970.0,69.0,6.0,105.0,0.0,0.0,0.0,7000000.0,500000.0,7244999.999999999,517499.99999999994,7244999.999999999,0.31654676258992803,0.5809352517985612,0.38263665594855306,0.9942583732057416,2014,1,2014,abreujo02,1B
49,154,613,88,178,34,3,30,101.0,0.0,0.0,39,140.0,11.0,15.0,0.0,1.0,16.0,1.0,115.0,115.0,3051.0,952.0,60.0,11.0,100.0,0.0,0.0,0.0,8666000.0,507500.0,8960644.0,524755.0,8960644.0,0.2903752039151713,0.5024469820554649,0.3473053892215569,0.989247311827957,2014,2,2015,abreujo02,1B
50,159,624,67,183,32,1,25,100.0,0.0,2.0,47,125.0,7.0,15.0,0.0,9.0,21.0,1.0,152.0,152.0,4067.0,1243.0,84.0,10.0,131.0,0.0,0.0,0.0,11666667.0,507500.0,11911667.007,518157.49999999994,11911667.007,0.2932692307692308,0.46794871794871795,0.35251798561151076,0.9925205684367988,2014,3,2016,abreujo02,1B
59,153,607,84,137,22,2,12,50.0,13.0,3.0,59,124.0,7.0,0.0,1.0,1.0,3.0,2.0,153.0,147.0,3953.0,289.0,398.0,8.0,96.0,0.0,0.0,0.0,2100000.0,480000.0,2242800.0,512640.0,2242800.0,0.2257001647446458,0.32784184514003295,0.2938530734632684,0.9884892086330935,2011,2,2012,ackledu01,2B
60,113,384,40,97,18,2,4,31.0,2.0,3.0,37,72.0,1.0,1.0,4.0,1.0,6.0,3.0,118.0,103.0,2850.0,226.0,152.0,1.0,31.0,0.0,0.0,0.0,2700000.0,490000.0,2840400.0,515480.0,2840400.0,0.2526041666666667,0.3411458333333333,0.3191489361702128,0.9973614775725593,2011,3,2013,ackledu01,OF
61,143,502,64,123,27,4,14,65.0,8.0,4.0,32,90.0,1.0,3.0,3.0,2.0,10.0,1.0,133.0,127.0,3390.0,245.0,4.0,2.0,2.0,0.0,0.0,0.0,1700000.0,500000.0,1759499.9999999998,517499.99999999994,1759499.9999999998,0.2450199203187251,0.398406374501992,0.29313543599257885,0.9920318725099602,2011,4,2014,ackledu01,OF
62,108,238,28,55,11,3,10,30.0,2.0,2.0,18,45.0,0.0,1.0,3.0,4.0,3.0,8.0,96.0,67.0,1852.0,143.0,18.0,1.0,4.0,0.0,0.0,0.0,2600000.0,507500.0,2688400.0,524755.0,2688400.0,0.23109243697478993,0.42857142857142855,0.2835249042145594,0.9938271604938271,2011,5,2015,ackledu01,OF
63,28,61,6,9,0,0,0,4.0,0.0,0.0,8,9.0,0.0,0.0,0.0,1.0,0.0,3.0,23.0,16.0,421.0,89.0,8.0,0.0,8.0,0.0,0.0,0.0,3200000.0,507500.0,3267199.9999999995,518157.49999999994,3267199.9999999995,0.14754098360655737,0.14754098360655737,0.24285714285714285,1.0,2011,6,2016,ackledu01,1B
75,118,297,37,74,18,0,16,54.0,0.0,1.0,25,81.0,1.0,2.0,0.0,3.0,5.0,1.0,86.0,69.0,1805.0,617.0,71.0,7.0,62.0,0.0,0.0,0.0,1650000.0,507500.0,1684649.9999999998,518157.49999999994,1684649.9999999998,0.24915824915824916,0.4713804713804714,0.308868501529052,0.9899280575539569,2012,5,2016,adamsma01,1B
160,144,557,94,155,28,2,17,78.0,8.0,3.0,65,77.0,1.0,3.0,2.0,3.0,11.0,2.0,145.0,136.0,3699.0,117.0,248.0,9.0,20.0,0.0,0.0,0.0,1750000.0,170000.0,2632000.0,255680.0,2632000.0,0.27827648114901254,0.4272890484739677,0.35509554140127386,0.9759358288770054,1995,4,1998,alfoned01,3B
161,158,628,123,191,41,1,27,108.0,9.0,2.0,85,85.0,2.0,3.0,1.0,9.0,14.0,1.0,158.0,158.0,4142.0,298.0,409.0,5.0,98.0,0.0,0.0,0.0,2800000.0,200000.0,4118799.9999999995,294200.0,4118799.9999999995,0.304140127388535,0.5015923566878981,0.38482758620689655,0.9929775280898876,1995,5,1999,alfoned01,2B
162,150,544,109,176,40,2,25,94.0,3.0,2.0,95,70.0,1.0,5.0,0.0,6.0,12.0,1.0,146.0,145.0,3722.0,316.0,362.0,10.0,84.0,0.0,0.0,0.0,4225000.0,200000.0,6012175.0,284600.0,6012175.0,0.3235294117647059,0.5422794117647058,0.4246153846153846,0.9854651162790697,1995,6,2000,alfoned01,2B
163,124,457,64,111,22,0,17,49.0,5.0,0.0,51,62.0,0.0,5.0,1.0,5.0,7.0,1.0,122.0,119.0,3079.0,211.0,301.0,7.0,61.0,0.0,0.0,0.0,5750000.0,200000.0,7958000.000000001,276800.0,7958000.000000001,0.24288840262582057,0.4026258205689278,0.3223938223938224,0.9865125240847784,1995,7,2001,alfoned01,2B
164,135,490,78,151,26,0,16,56.0,6.0,0.0,62,55.0,8.0,7.0,0.0,3.0,5.0,1.0,134.0,131.0,3462.0,95.0,278.0,12.0,22.0,0.0,0.0,0.0,6200000.0,200000.0,8450600.000000002,272600.00000000006,8450600.000000002,0.3081632653061224,0.45918367346938777,0.3914590747330961,0.9688311688311688,1995,8,2002,alfoned01,3B
165,142,514,56,133,25,2,13,81.0,5.0,2.0,58,41.0,4.0,4.0,3.0,7.0,14.0,2.0,139.0,139.0,3578.0,90.0,247.0,11.0,20.0,0.0,0.0,0.0,4000000.0,300000.0,5327999.999999999,399599.99999999994,5327999.999999999,0.2587548638132296,0.39105058365758755,0.3344768439108062,0.9683908045977011,1995,9,2003,alfoned01,3B
166,139,519,66,150,26,1,11,77.0,1.0,1.0,46,40.0,2.0,5.0,2.0,4.0,15.0,2.0,134.0,127.0,3370.0,93.0,256.0,14.0,22.0,0.0,0.0,0.0,6500000.0,300000.0,8437000.0,389400.0,8437000.0,0.28901734104046245,0.40655105973025046,0.3501742160278746,0.9614325068870524,1995,10,2004,alfoned01,3B
167,109,368,36,102,17,1,2,43.0,2.0,0.0,27,34.0,1.0,2.0,1.0,4.0,11.0,2.0,99.0,94.0,2476.0,80.0,162.0,8.0,12.0,0.0,0.0,0.0,7500000.0,316000.0,9412500.0,396579.99999999994,9412500.0,0.27717391304347827,0.3451086956521739,0.3266832917705736,0.968,1995,11,2005,alfoned01,3B
168,30,87,5,11,2,0,0,5.0,0.0,0.0,7,4.0,0.0,1.0,0.0,0.0,2.0,4.0,29.0,22.0,608.0,19.0,52.0,0.0,5.0,0.0,0.0,0.0,8000000.0,327000.0,9728000.0,397632.0,9728000.0,0.12643678160919541,0.14942528735632185,0.2,1.0,1995,12,2006,alfoned01,3B
241,152,571,105,177,27,8,8,76.0,49.0,9.0,87,52.0,5.0,5.0,6.0,2.0,8.0,1.0,150.0,149.0,3830.0,287.0,378.0,5.0,66.0,0.0,0.0,0.0,2983333.0,109000.0,5211882.750999999,190423.0,5211882.750999999,0.30998248686514884,0.4273204903677758,0.4045112781954887,0.9925373134328358,1988,5,1992,alomaro01,2B
242,153,589,109,192,35,6,17,93.0,55.0,15.0,80,67.0,5.0,5.0,4.0,5.0,13.0,1.0,150.0,151.0,3916.0,254.0,439.0,14.0,92.0,0.0,0.0,0.0,4933333.0,109000.0,8371866.100999999,184972.99999999997,8371866.100999999,0.32597623089983024,0.4923599320882852,0.40795287187039764,0.9801980198019802,1988,6,1993,alomaro01,2B
243,107,392,78,120,25,4,8,38.0,19.0,8.0,51,41.0,2.0,2.0,7.0,3.0,14.0,1.0,106.0,102.0,2620.0,176.0,275.0,4.0,71.0,0.0,0.0,0.0,5433334.0,109000.0,8986734.436,180286.00000000003,8986734.436,0.30612244897959184,0.45153061224489793,0.3861607142857143,0.9912087912087912,1988,7,1994,alomaro01,2B
244,130,517,71,155,24,7,13,66.0,30.0,3.0,47,45.0,3.0,0.0,6.0,7.0,16.0,1.0,128.0,128.0,3380.0,272.0,367.0,4.0,84.0,0.0,0.0,0.0,5500000.0,109000.0,8849500.0,175381.0,8849500.0,0.29980657640232106,0.44874274661508706,0.35376532399299476,0.9937791601866252,1988,8,1995,alomaro01,2B
245,153,588,132,193,43,4,22,94.0,17.0,6.0,90,65.0,10.0,1.0,8.0,12.0,14.0,1.0,141.0,140.0,3653.0,279.0,445.0,11.0,107.0,0.0,0.0,0.0,4279379.0,122667.0,6688669.377,191728.521,6688669.377,0.3282312925170068,0.5272108843537415,0.4109985528219971,0.9850340136054422,1988,9,1996,alomaro01,2B
246,112,412,64,137,23,2,14,60.0,9.0,3.0,40,43.0,2.0,3.0,7.0,7.0,10.0,1.0,109.0,103.0,2690.0,203.0,300.0,6.0,66.0,0.0,0.0,0.0,6354379.0,150000.0,9703136.733,229050.0,9703136.733,0.3325242718446602,0.5,0.38961038961038963,0.9882121807465619,1988,10,1997,alomaro01,2B
247,147,588,86,166,36,1,14,56.0,18.0,5.0,59,70.0,3.0,2.0,3.0,5.0,11.0,1.0,144.0,141.0,3709.0,251.0,449.0,11.0,86.0,0.0,0.0,0.0,6343771.0,170000.0,9541031.584,255680.0,9541031.584,0.282312925170068,0.41836734693877553,0.3470948012232416,0.9845288326300985,1988,11,1998,alomaro01,2B
248,159,563,138,182,40,3,24,120.0,37.0,6.0,99,96.0,3.0,7.0,12.0,13.0,13.0,1.0,156.0,154.0,3919.0,270.0,466.0,6.0,102.0,0.0,0.0,0.0,7049966.0,200000.0,10370499.986,294200.0,10370499.986,0.32326820603907636,0.5328596802841918,0.4222873900293255,0.9919137466307277,1988,12,1999,alomaro01,2B
249,155,610,111,189,40,2,19,89.0,39.0,4.0,64,82.0,4.0,6.0,11.0,6.0,19.0,1.0,155.0,154.0,3928.0,293.0,437.0,15.0,109.0,0.0,0.0,0.0,7196656.0,200000.0,10240841.488,284600.0,10240841.488,0.30983606557377047,0.47540983606557374,0.37755102040816324,0.9798657718120806,1988,13,2000,alomaro01,2B
250,157,575,113,193,34,12,20,100.0,30.0,6.0,80,71.0,5.0,4.0,9.0,9.0,9.0,1.0,157.0,156.0,3972.0,268.0,423.0,5.0,88.0,0.0,0.0,0.0,7750000.0,200000.0,10726000.0,276800.0,10726000.0,0.3356521739130435,0.5408695652173913,0.41467065868263475,0.992816091954023,1988,14,2001,alomaro01,2B
251,149,590,73,157,24,4,11,53.0,16.0,4.0,57,83.0,4.0,1.0,6.0,1.0,12.0,1.0,147.0,146.0,3797.0,273.0,348.0,11.0,94.0,0.0,0.0,0.0,7939664.0,200000.0,10821762.032000002,272600.00000000006,10821762.032000002,0.26610169491525426,0.376271186440678,0.3312788906009245,0.9825949367088608,1988,15,2002,alomaro01,2B
252,140,516,76,133,28,2,5,39.0,12.0,2.0,59,77.0,3.0,3.0,12.0,8.0,17.0,3.0,139.0,134.0,3423.0,257.0,342.0,9.0,87.0,0.0,0.0,0.0,8000000.0,300000.0,10655999.999999998,399599.99999999994,10655999.999999998,0.25775193798449614,0.3488372093023256,0.33276450511945393,0.9851973684210527,1988,16,2003,alomaro01,2B
260,80,292,44,84,15,1,14,43.0,8.0,4.0,25,31.0,2.0,2.0,0.0,1.0,7.0,1.0,78.0,78.0,2057.0,453.0,41.0,2.0,4.0,3.0,43.0,22.0,2200000.0,109000.0,3638800.0000000005,180286.00000000003,3638800.0000000005,0.2876712328767123,0.4897260273972603,0.346875,0.9959677419354839,1988,7,1994,alomasa02,C
261,66,203,32,61,6,0,10,35.0,3.0,1.0,7,26.0,0.0,3.0,4.0,1.0,8.0,1.0,61.0,54.0,1400.0,364.0,22.0,2.0,3.0,4.0,36.0,14.0,2550000.0,109000.0,4102950.0,175381.0,4102950.0,0.30049261083743845,0.47783251231527096,0.3317757009345794,0.9948453608247423,1988,8,1995,alomasa02,C
262,127,418,53,110,23,0,11,50.0,1.0,0.0,19,42.0,0.0,3.0,2.0,2.0,20.0,2.0,125.0,111.0,2979.0,724.0,48.0,9.0,5.0,7.0,76.0,35.0,2575000.0,122667.0,4024725.0000000005,191728.521,4024725.0000000005,0.2631578947368421,0.39712918660287083,0.2986425339366516,0.9884763124199744,1988,9,1996,alomasa02,C
263,125,451,63,146,37,0,21,83.0,0.0,2.0,19,48.0,2.0,3.0,6.0,1.0,16.0,1.0,119.0,115.0,3015.0,743.0,40.0,12.0,8.0,3.0,84.0,38.0,2600000.0,150000.0,3970200.0,229050.0,3970200.0,0.3237250554323725,0.5454545454545454,0.35443037974683544,0.9849056603773585,1988,10,1997,alomasa02,C
264,117,409,45,96,26,2,6,44.0,0.0,3.0,18,45.0,0.0,3.0,5.0,3.0,15.0,1.0,111.0,106.0,2790.0,712.0,42.0,6.0,7.0,4.0,67.0,28.0,2725000.0,170000.0,4098400.0,255680.0,4098400.0,0.23471882640586797,0.35207823960880197,0.2702078521939954,0.9921052631578947,1988,11,1998,alomasa02,C
265,37,137,19,42,13,0,6,25.0,0.0,1.0,4,23.0,0.0,0.0,1.0,2.0,1.0,1.0,35.0,35.0,888.0,257.0,10.0,7.0,2.0,1.0,27.0,4.0,2800000.0,200000.0,4118799.9999999995,294200.0,4118799.9999999995,0.30656934306569344,0.5328467153284672,0.32167832167832167,0.9744525547445255,1988,12,1999,alomasa02,C
266,97,356,44,103,16,2,7,42.0,2.0,2.0,16,41.0,1.0,4.0,4.0,4.0,9.0,1.0,95.0,93.0,2450.0,661.0,42.0,8.0,6.0,6.0,75.0,23.0,2700000.0,200000.0,3842100.0,284600.0,3842100.0,0.2893258426966292,0.4044943820224719,0.3236842105263158,0.9887482419127989,1988,13,2000,alomasa02,C
267,70,220,17,54,8,1,4,21.0,1.0,2.0,12,17.0,1.0,2.0,3.0,2.0,6.0,1.0,69.0,63.0,1635.0,367.0,19.0,4.0,5.0,5.0,31.0,14.0,2900000.0,200000.0,4013600.0000000005,276800.0,4013600.0000000005,0.24545454545454545,0.34545454545454546,0.288135593220339,0.9897435897435898,1988,14,2001,alomasa02,C
268,89,283,29,79,14,1,7,37.0,0.0,0.0,9,33.0,0.0,1.0,1.0,2.0,11.0,3.0,88.0,76.0,2030.0,483.0,22.0,2.0,4.0,5.0,49.0,15.0,2500000.0,200000.0,3407500.0000000005,272600.00000000006,3407500.0000000005,0.2791519434628975,0.4098939929328622,0.3016949152542373,0.9960552268244576,1988,15,2002,alomasa02,C
279,103,354,50,100,18,1,5,31.0,2.0,5.0,42,48.0,3.0,3.0,0.0,3.0,13.0,2.0,104.0,94.0,2521.0,817.0,56.0,3.0,71.0,0.0,0.0,0.0,1650000.0,507500.0,1706100.0,524755.0,1706100.0,0.2824858757062147,0.3813559322033898,0.36069651741293535,0.9965753424657534,2010,6,2015,alonsyo01,1B
280,156,482,52,122,34,0,7,56.0,3.0,1.0,45,74.0,1.0,1.0,0.0,4.0,15.0,2.0,152.0,132.0,3523.0,1157.0,79.0,5.0,118.0,0.0,0.0,0.0,2650000.0,507500.0,2705649.9999999995,518157.49999999994,2705649.9999999995,0.25311203319502074,0.36721991701244816,0.3157894736842105,0.9959709911361805,2010,7,2016,alonsyo01,1B
286,93,344,48,94,22,0,14,58.0,4.0,3.0,29,56.0,6.0,9.0,0.0,4.0,9.0,1.0,92.0,92.0,2323.0,147.0,5.0,3.0,2.0,0.0,0.0,0.0,3000000.0,109000.0,4827000.0,175381.0,4827000.0,0.27325581395348836,0.45930232558139533,0.34196891191709844,0.9806451612903225,1990,6,1995,aloumo01,OF
287,143,540,87,152,28,2,21,96.0,9.0,4.0,49,83.0,7.0,2.0,0.0,7.0,15.0,1.0,142.0,141.0,3618.0,259.0,8.0,3.0,2.0,0.0,0.0,0.0,3050000.0,122667.0,4767150.000000001,191728.521,4767150.000000001,0.2814814814814815,0.45740740740740743,0.3394648829431438,0.9888888888888889,1990,7,1996,aloumo01,OF
288,150,538,88,157,29,5,23,115.0,9.0,5.0,70,85.0,9.0,4.0,0.0,7.0,13.0,1.0,150.0,145.0,3829.0,248.0,4.0,3.0,1.0,0.0,0.0,0.0,4500000.0,150000.0,6871500.0,229050.0,6871500.0,0.29182156133828996,0.49256505576208176,0.37318255250403876,0.9882352941176471,1990,8,1997,aloumo01,OF
289,159,584,104,182,34,5,38,124.0,11.0,3.0,84,87.0,11.0,5.0,0.0,6.0,14.0,1.0,154.0,152.0,4090.0,232.0,11.0,5.0,2.0,0.0,0.0,0.0,5020000.0,170000.0,7550080.0,255680.0,7550080.0,0.3116438356164384,0.5821917808219178,0.39911634756995584,0.9798387096774194,1990,9,1998,aloumo01,OF
290,126,454,82,161,28,2,30,114.0,3.0,3.0,52,45.0,4.0,2.0,0.0,9.0,21.0,1.0,121.0,120.0,3038.0,192.0,5.0,6.0,0.0,0.0,0.0,0.0,5250000.0,200000.0,7470750.0,284600.0,7470750.0,0.35462555066079293,0.6233480176211453,0.4158607350096712,0.9704433497536946,1990,11,2000,aloumo01,OF
291,136,513,79,170,31,1,27,108.0,5.0,1.0,57,57.0,14.0,3.0,0.0,8.0,18.0,1.0,130.0,130.0,3350.0,205.0,10.0,2.0,3.0,0.0,0.0,0.0,5250000.0,200000.0,7266000.000000001,276800.0,7266000.000000001,0.3313840155945419,0.5536062378167641,0.3958691910499139,0.9907834101382489,1990,12,2001,aloumo01,OF
292,132,484,50,133,23,1,15,61.0,8.0,0.0,47,61.0,4.0,0.0,0.0,3.0,15.0,1.0,124.0,124.0,3131.0,203.0,6.0,2.0,1.0,0.0,0.0,0.0,6000000.0,200000.0,8178000.000000001,272600.00000000006,8178000.000000001,0.27479338842975204,0.4194214876033058,0.33707865168539325,0.990521327014218,1990,13,2002,aloumo01,OF
293,151,565,83,158,35,1,22,91.0,3.0,1.0,63,67.0,7.0,7.0,0.0,3.0,16.0,1.0,142.0,140.0,3657.0,203.0,4.0,6.0,1.0,0.0,0.0,0.0,9500000.0,300000.0,12653999.999999998,399599.99999999994,12653999.999999998,0.27964601769911507,0.46194690265486726,0.3573667711598746,0.971830985915493,1990,14,2003,aloumo01,OF
294,155,601,106,176,36,3,39,106.0,3.0,0.0,68,80.0,2.0,0.0,0.0,6.0,12.0,1.0,154.0,152.0,4015.0,240.0,7.0,8.0,2.0,0.0,0.0,0.0,9500000.0,300000.0,12331000.0,389400.0,12331000.0,0.2928452579034942,0.5574043261231281,0.36148148148148146,0.9686274509803922,1990,15,2004,aloumo01,OF
295,123,427,67,137,21,3,19,63.0,5.0,1.0,56,43.0,1.0,3.0,0.0,4.0,11.0,1.0,117.0,117.0,2966.0,222.0,5.0,8.0,3.0,0.0,0.0,0.0,7250000.0,316000.0,9098750.0,396579.99999999994,9098750.0,0.32084309133489464,0.5175644028103045,0.4,0.9659574468085106,1990,16,2005,aloumo01,OF
296,98,345,52,104,25,1,22,74.0,2.0,1.0,28,31.0,2.0,1.0,0.0,4.0,15.0,1.0,92.0,90.0,2177.0,173.0,1.0,4.0,0.0,0.0,0.0,0.0,5827974.0,327000.0,7086816.384,397632.0,7086816.384,0.30144927536231886,0.5710144927536231,0.35185185185185186,0.9775280898876404,1990,17,2006,aloumo01,OF
297,87,328,51,112,19,1,13,49.0,3.0,0.0,27,30.0,5.0,2.0,0.0,3.0,13.0,1.0,84.0,84.0,2109.0,138.0,7.0,4.0,0.0,0.0,0.0,0.0,7500000.0,380000.0,8865000.0,449160.0,8865000.0,0.34146341463414637,0.524390243902439,0.39166666666666666,0.9731543624161074,1990,18,2007,aloumo01,OF
298,15,49,4,17,2,0,0,9.0,1.0,1.0,2,4.0,0.0,2.0,0.0,1.0,1.0,1.0,13.0,13.0,277.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,7500000.0,390000.0,8535000.0,443819.99999999994,8535000.0,0.3469387755102041,0.3877551020408163,0.3888888888888889,1.0,1990,19,2008,aloumo01,OF
307,154,638,86,200,40,4,15,66.0,38.0,13.0,33,67.0,8.0,9.0,3.0,6.0,17.0,1.0,153.0,153.0,3992.0,247.0,417.0,5.0,81.0,0.0,0.0,0.0,2500000.0,507500.0,2585000.0,524755.0,2585000.0,0.31347962382445144,0.4592476489028213,0.35276967930029157,0.992526158445441,2011,5,2015,altuvjo01,2B
308,161,640,108,216,42,5,24,96.0,30.0,10.0,60,70.0,11.0,7.0,3.0,7.0,15.0,2.0,149.0,147.0,3933.0,206.0,363.0,7.0,73.0,0.0,0.0,0.0,3687500.0,507500.0,3764937.4999999995,518157.49999999994,3764937.4999999995,0.3375,0.53125,0.3963585434173669,0.9878472222222222,2011,6,2016,altuvjo01,2B
317,74,235,18,45,9,1,4,19.0,1.0,0.0,24,80.0,1.0,2.0,1.0,0.0,11.0,1.0,66.0,62.0,1647.0,55.0,145.0,14.0,15.0,0.0,0.0,0.0,2050000.0,414000.0,2234500.0,451260.00000000006,2234500.0,0.19148936170212766,0.28936170212765955,0.2720306513409962,0.9345794392523364,2010,2,2011,alvarpe01,3B
318,149,525,64,128,25,1,30,85.0,1.0,0.0,57,180.0,6.0,1.0,0.0,3.0,10.0,1.0,145.0,143.0,3819.0,73.0,264.0,27.0,23.0,0.0,0.0,0.0,2200000.0,480000.0,2349600.0,512640.0,2349600.0,0.2438095238095238,0.4666666666666667,0.3174061433447099,0.9258241758241759,2010,3,2012,alvarpe01,3B
320,122,398,46,92,13,1,18,56.0,8.0,3.0,45,113.0,6.0,2.0,0.0,0.0,12.0,2.0,104.0,100.0,2581.0,100.0,234.0,25.0,29.0,0.0,0.0,0.0,4250000.0,500000.0,4398750.0,517499.99999999994,4398750.0,0.23115577889447236,0.4045226130653266,0.31235955056179776,0.9303621169916435,2010,5,2014,alvarpe01,3B
321,150,437,60,106,18,0,27,77.0,2.0,0.0,48,131.0,9.0,2.0,0.0,4.0,6.0,1.0,124.0,119.0,2719.0,966.0,68.0,23.0,98.0,0.0,0.0,0.0,5750000.0,507500.0,5945500.0,524755.0,5945500.0,0.2425629290617849,0.4691075514874142,0.31771894093686354,0.978240302743614,2010,6,2015,alvarpe01,1B
322,109,337,43,84,20,0,22,49.0,1.0,0.0,37,97.0,1.0,0.0,0.0,2.0,6.0,1.0,12.0,6.0,159.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,5731704.0,507500.0,5852069.783999999,518157.49999999994,5852069.783999999,0.24925816023738873,0.5044510385756676,0.32180851063829785,0.5555555555555556,2010,7,2016,alvarpe01,3B
369,142,560,87,147,36,8,13,66.0,24.0,12.0,82,99.0,4.0,10.0,6.0,6.0,4.0,1.0,140.0,139.0,3713.0,296.0,7.0,2.0,0.0,0.0,0.0,0.0,1855000.0,109000.0,3147934.9999999995,184972.99999999997,3147934.9999999995,0.2625,0.425,0.36322188449848025,0.9934426229508196,1988,6,1993,anderbr01,OF
