,playerID,yearID,G_x,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,stint,G_y,GS,InnOuts,PO,A,E,DP,PB,SB_y,CS_y,Primary,salary,Annual Average,AnnualPercentChange,Mult2017,MinSalaries,adjSalary,adjMinSalaries,adjSalary2,Bavg,Slug,OBP,FPct,debutYear,seasonNum
16,abbotku01,2001,6,9,0,2,0,0,0,0.0,1.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,30.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2B,600000.0,532.1,2.80%,1.3840000000000001,200000.0,830400.0000000001,276800.0,830400.0000000001,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,1993,9
17,abercre01,2006,111,255,39,54,12,2,5,24.0,6.0,5.0,18,78.0,2.0,3.0,4.0,1.0,2.0,1.0,93.0,67.0,1862.0,176.0,3.0,5.0,1.0,0.0,0.0,0.0,OF,327000.0,605.8,3.20%,1.216,327000.0,397632.0,397632.0,397632.0,0.21176470588235294,0.3333333333333333,0.27075812274368233,0.9728260869565217,2006,1
21,abernbr01,2002,117,463,46,112,18,4,2,40.0,10.0,4.0,25,46.0,0.0,6.0,8.0,2.0,8.0,1.0,116.0,115.0,3045.0,253.0,316.0,12.0,85.0,0.0,0.0,0.0,2B,215000.0,540.5,1.60%,1.3630000000000002,200000.0,293045.00000000006,272600.00000000006,293045.00000000006,0.24190064794816415,0.31101511879049676,0.28830645161290325,0.9793459552495697,2001,2
22,abernbr01,2003,12,34,3,2,0,0,0,0.0,1.0,0.0,1,3.0,0.0,0.0,2.0,0.0,2.0,3.0,11.0,7.0,229.0,13.0,28.0,1.0,4.0,0.0,0.0,0.0,2B,300000.0,552.8,2.30%,1.3319999999999999,300000.0,399599.99999999994,399599.99999999994,399599.99999999994,0.058823529411764705,0.058823529411764705,0.08571428571428572,0.9761904761904762,2001,3
25,abnersh01,1988,37,83,6,15,3,0,2,5.0,0.0,1.0,4,19.0,1.0,1.0,0.0,1.0,1.0,1.0,35.0,24.0,679.0,55.0,1.0,1.0,1.0,0.0,0.0,0.0,OF,63500.0,355.4,4.10%,2.073,62500.0,131635.5,129562.5,131635.5,0.18072289156626506,0.2891566265060241,0.2247191011235955,0.9824561403508771,1987,2
26,abnersh01,1989,57,102,13,18,4,0,2,14.0,1.0,0.0,5,20.0,2.0,0.0,0.0,1.0,1.0,1.0,51.0,23.0,734.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,OF,77500.0,372.5,4.80%,1.9769999999999999,68000.0,153217.5,134436.0,153217.5,0.17647058823529413,0.27450980392156865,0.21296296296296297,1.0,1987,3
27,abnersh01,1990,91,184,17,45,9,0,1,15.0,2.0,3.0,9,28.0,1.0,2.0,2.0,1.0,3.0,1.0,62.0,40.0,1177.0,108.0,1.0,1.0,0.0,0.0,0.0,0.0,OF,105000.0,392.6,5.40%,1.876,100000.0,196980.0,187600.0,196980.0,0.24456521739130435,0.30978260869565216,0.2857142857142857,0.990909090909091,1987,4
28,abnersh01,1991,94,216,27,42,10,2,3,14.0,1.0,2.0,11,43.0,4.0,1.0,1.0,1.0,6.0,3.0,77.0,54.0,1545.0,158.0,4.0,0.0,1.0,0.0,0.0,0.0,OF,180000.0,409.3,4.20%,1.8,100000.0,324000.0,180000.0,324000.0,0.19444444444444445,0.30092592592592593,0.23580786026200873,1.0,1987,5
29,abnersh01,1992,97,208,21,58,10,1,1,16.0,1.0,2.0,12,35.0,2.0,3.0,2.0,3.0,3.0,1.0,94.0,48.0,1544.0,155.0,2.0,0.0,0.0,0.0,0.0,0.0,OF,297500.0,421.7,3.00%,1.7469999999999999,109000.0,519732.49999999994,190423.0,519732.49999999994,0.27884615384615385,0.35096153846153844,0.3230088495575221,1.0,1987,6
31,abreubo01,1997,59,188,22,47,10,2,3,26.0,7.0,2.0,21,48.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,46.0,1284.0,84.0,4.0,2.0,1.0,0.0,0.0,0.0,OF,150000.0,482.4,2.30%,1.527,150000.0,229050.0,229050.0,229050.0,0.25,0.3723404255319149,0.32857142857142857,0.9777777777777777,1996,2
